ORF GenomeID    FID TransporterFamily   TransporterSubfamily    Substrate   AutoAnnotation  IsCurated

PN96_RS07510	vn10844		vn10844	AAE		539	aspartate:alanine antiporter		2.A.81		X
PN96_RS10770	vn10844		vn10844	ABC	membrane	718	phosphate		3.A.1		X
PN96_RS10885	vn10844		vn10844	ABC	binding	721	nitrate		3.A.1		X
PN96_RS10890	vn10844		vn10844	ABC	membrane	722	nitrate/sulfonate/taurine		3.A.1		X
PN96_RS10920	vn10844		vn10844	ABC	binding protein	723	amino acid		3.A.1		X
PN96_RS10950	vn10844		vn10844	ABC	binding	724	heme		3.A.1		X
PN96_RS11280	vn10844		vn10844	ABC	binding	725	iron-hydroxamate		3.A.1		X
PN96_RS11635	vn10844		vn10844	ABC	binding	727	methionine		3.A.1		X
PN96_RS11880	vn10844		vn10844	ABC	binding	729	thiamine		3.A.1		X
PN96_RS11885	vn10844		vn10844	ABC	membrane	730	iron(III)		3.A.1		X
PN96_RS11890	vn10844		vn10844	ABC	binding	731	thiamin		3.A.1		X
PN96_RS11955	vn10844		vn10844	ABC	binding	733	lipoprotein		3.A.1		X
PN96_RS11960	vn10844		vn10844	ABC	membrane	734	lipoprotein releasing		3.A.1		X
PN96_RS12365	vn10844		vn10844	ABC	membrane	737	polysaccharide export		3.A.1		X
PN96_RS12465	vn10844		vn10844	ABC	binding	738	daunorubicin		3.A.1		X
PN96_RS12670	vn10844		vn10844	ABC	binding	739	glycine betaine		3.A.1		X
PN96_RS12675	vn10844		vn10844	ABC	binding	740	D-methionine		3.A.1		X
PN96_RS12680	vn10844		vn10844	ABC	binding protein	741	dipeptide/oligopeptide		3.A.1		X
PN96_RS12685	vn10844		vn10844	ABC	membrane	742	dipeptide/oligopeptide		3.A.1		X
PN96_RS12690	vn10844		vn10844	ABC	membrane	743	dipeptide/oligopeptide		3.A.1		X
PN96_RS13075	vn10844		vn10844	ABC	binding	744	lipid A		3.A.1		X
PN96_RS13080	vn10844		vn10844	ABC	binding	745	lipid A		3.A.1		X
PN96_RS13260	vn10844		vn10844	ABC	membrane	747	dipeptide/oligopeptide		3.A.1		X
PN96_RS13265	vn10844		vn10844	ABC	membrane	748	dipeptide/oligopeptide		3.A.1		X
PN96_RS13270	vn10844		vn10844	ABC	binding protein	749	dipeptide/oligopeptide		3.A.1		X
PN96_RS13275	vn10844		vn10844	ABC	binding	750	glycine betaine		3.A.1		X
PN96_RS13500	vn10844		vn10844	ABC	binding protein	752	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS13505	vn10844		vn10844	ABC	membrane	753	amino aicd (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS13510	vn10844		vn10844	ABC	binding	754	phosphate		3.A.1		X
PN96_RS13615	vn10844		vn10844	ABC	membrane	755	amino aicd (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS13620	vn10844		vn10844	ABC	binding protein	756	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS14190	vn10844		vn10844	ABC	binding	757	lipoprotein		3.A.1		X
PN96_RS14195	vn10844		vn10844	ABC	membrane	758	cell division		3.A.1		X
PN96_RS14865	vn10844		vn10844	ABC	ABC	759	unknown substrate		3.A.1		X
PN96_RS15185	vn10844		vn10844	ABC	binding	760	polyamine		3.A.1		X
PN96_RS15315	vn10844		vn10844	ABC	binding	761	lipid A		3.A.1		X
PN96_RS15325	vn10844		vn10844	ABC	binding	762	phosphonate		3.A.1		X
PN96_RS15330	vn10844		vn10844	ABC	binding	763	iron-hydroxamate		3.A.1		X
PN96_RS15335	vn10844		vn10844	ABC	membrane	764	cobalamin/Fe3+-siderophores		3.A.1		X
PN96_RS15350	vn10844		vn10844	ABC	membrane	766	protease secretion	*	3.A.1		X
PN96_RS15405	vn10844		vn10844	ABC	binding	767	phosphate		3.A.1		X
PN96_RS15410	vn10844		vn10844	ABC	membrane	768	phosphate		3.A.1		X
PN96_RS15415	vn10844		vn10844	ABC	membrane	769	phosphate		3.A.1		X
PN96_RS15420	vn10844		vn10844	ABC	binding protein	770	phosphate		3.A.1		X
PN96_RS15490	vn10844		vn10844	ABC	membrane	772	unknown substrate		3.A.1		X
PN96_RS15605	vn10844		vn10844	ABC	binding protein	773	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS15850	vn10844		vn10844	ABC	binding	776	thiamine		3.A.1		X
PN96_RS15930	vn10844		vn10844	ABC	binding	778	iron-hydroxamate		3.A.1		X
PN96_RS15935	vn10844		vn10844	ABC	membrane	779	iron compound		3.A.1		X
PN96_RS15940	vn10844		vn10844	ABC	membrane	780	iron compound		3.A.1		X
PN96_RS15945	vn10844		vn10844	ABC	binding	781	phosphonate		3.A.1		X
PN96_RS16180	vn10844		vn10844	ABC	binding	783	glycine betaine		3.A.1		X
PN96_RS16185	vn10844		vn10844	ABC	membrane	784	dipeptide/oligopeptide		3.A.1		X
PN96_RS16190	vn10844		vn10844	ABC	membrane	785	dipeptide/oligopeptide		3.A.1		X
PN96_RS16195	vn10844		vn10844	ABC	binding protein	786	dipeptide/oligopeptide		3.A.1		X
PN96_RS16220	vn10844		vn10844	ABC	binding	787	iron-hydroxamate		3.A.1		X
PN96_RS16235	vn10844		vn10844	ABC	membrane	788	sugar (ribose)		3.A.1		X
PN96_RS16240	vn10844		vn10844	ABC	ABC	789	sugar (ribose)		3.A.1		X
PN96_RS16245	vn10844		vn10844	ABC	binding	790	ribose		3.A.1		X
PN96_RS16290	vn10844		vn10844	ABC	membrane	791	nitrate/sulfonate/taurine		3.A.1		X
PN96_RS16295	vn10844		vn10844	ABC	binding	792	nitrate		3.A.1		X
PN96_RS16300	vn10844		vn10844	ABC	binding	793	glycine betaine		3.A.1		X
PN96_RS16325	vn10844		vn10844	ABC	binding	794	lipoprotein		3.A.1		X
PN96_RS16330	vn10844		vn10844	ABC	membrane	795	lipoprotein releasing		3.A.1		X
PN96_RS16450	vn10844		vn10844	ABC	membrane	797	toxin secretion	*	3.A.1		X
PN96_RS16460	vn10844		vn10844	ABC	binding protein	798	oligopeptide		3.A.1		X
PN96_RS16500	vn10844		vn10844	ABC	binding	799	glycine betaine		3.A.1		X
PN96_RS16505	vn10844		vn10844	ABC	binding	800	glycine betaine		3.A.1		X
PN96_RS16530	vn10844		vn10844	ABC	binding	801	lipoprotein		3.A.1		X
PN96_RS16535	vn10844		vn10844	ABC	membrane	802	lipoprotein releasing		3.A.1		X
PN96_RS16580	vn10844		vn10844	ABC	binding	803	daunorubicin		3.A.1		X
PN96_RS16905	vn10844		vn10844	ABC	binding protein	805	nitrate/sulfonate/taurine		3.A.1		X
PN96_RS16910	vn10844		vn10844	ABC	membrane	806	nitrate/sulfonate/taurine		3.A.1		X
PN96_RS16915	vn10844		vn10844	ABC	binding	807	glycine betaine		3.A.1		X
PN96_RS17225	vn10844		vn10844	ABC	binding	808	leucine/valine		3.A.1		X
PN96_RS17230	vn10844		vn10844	ABC	membrane	809	branched-chain amino acid		3.A.1		X
PN96_RS17275	vn10844		vn10844	ABC	binding	811	lipoprotein		3.A.1		X
PN96_RS17315	vn10844		vn10844	ABC	binding	813	2-aminoethylphosphonate		3.A.1		X
PN96_RS17325	vn10844		vn10844	ABC	binding	814	polyamine		3.A.1		X
PN96_RS17330	vn10844		vn10844	ABC	membrane	815	iron(III)		3.A.1		X
PN96_RS17615	vn10844		vn10844	ABC	binding	817	polyamine		3.A.1		X
PN96_RS17620	vn10844		vn10844	ABC	membrane	818	spermidine/putrescine		3.A.1		X
PN96_RS17625	vn10844		vn10844	ABC	membrane	819	unknown substrate		3.A.1		X
PN96_RS17675	vn10844		vn10844	ABC	binding protein	823	spermidine/putrescine		3.A.1		X
PN96_RS17790	vn10844		vn10844	ABC	binding protein	824	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS18425	vn10844		vn10844	ABC	binding	828	phosphonates		3.A.1		X
PN96_RS18695	vn10844		vn10844	ABC	binding	829	phosphonates		3.A.1		X
PN96_RS18805	vn10844		vn10844	ABC	binding	830	iron-hydroxamate		3.A.1		X
PN96_RS18870	vn10844		vn10844	ABC	membrane	831	toxin secretion	*	3.A.1		X
PN96_RS18875	vn10844		vn10844	ABC	membrane	832	toxin secretion	*	3.A.1		X
PN96_RS19160	vn10844		vn10844	ABC	binding	835	sulfate		3.A.1		X
PN96_RS19170	vn10844		vn10844	ABC	membrane	836	branched-chain amino acid		3.A.1		X
PN96_RS19175	vn10844		vn10844	ABC	membrane	837	branched-chain amino acid		3.A.1		X
PN96_RS19180	vn10844		vn10844	ABC	binding	838	urea		3.A.1		X
PN96_RS19185	vn10844		vn10844	ABC	binding	839	phosphonate		3.A.1		X
PN96_RS19230	vn10844		vn10844	ABC	binding protein	840	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS19235	vn10844		vn10844	ABC	membrane	841	amino acid (lysine/arginine/ornithine/histidine/octopine)		3.A.1		X
PN96_RS19240	vn10844		vn10844	ABC	membrane	842	amino acid (lysine/arginine/ornithine/histidine/octopine)		3.A.1		X
PN96_RS19360	vn10844		vn10844	ABC	binding	843	choline		3.A.1		X
PN96_RS19365	vn10844		vn10844	ABC	membrane	844	glycine betaine/L-proline		3.A.1		X
PN96_RS19370	vn10844		vn10844	ABC	binding	845	glycine betaine		3.A.1		X
PN96_RS19520	vn10844		vn10844	ABC	binding	846	mobybdenate		3.A.1		X
PN96_RS19525	vn10844		vn10844	ABC	membrane	847	molybdate		3.A.1		X
PN96_RS19530	vn10844		vn10844	ABC	binding	848	molybdate		3.A.1		X
PN96_RS19795	vn10844		vn10844	ABC	binding protein	850	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS19955	vn10844		vn10844	ABC	ABC	852	sugar (ribose)		3.A.1		X
PN96_RS19960	vn10844		vn10844	ABC	membrane	853	sugar (ribose)		3.A.1		X
PN96_RS19965	vn10844		vn10844	ABC	binding	854	ribose		3.A.1		X
PN96_RS20015	vn10844		vn10844	ABC	binding	856	TMAO inducer		3.A.1		X
PN96_RS20310	vn10844		vn10844	ABC	binding protein	858	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS20315	vn10844		vn10844	ABC	membrane	859	amino aicd (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS20320	vn10844		vn10844	ABC	membrane	860	amino aicd (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS20325	vn10844		vn10844	ABC	binding	861	phosphate		3.A.1		X
PN96_RS20330	vn10844		vn10844	ABC	binding protein	862	dipeptide/oligopeptide		3.A.1		X
PN96_RS20335	vn10844		vn10844	ABC	membrane	863	dipeptide/oligopeptide		3.A.1		X
PN96_RS20340	vn10844		vn10844	ABC	membrane	864	dipeptide/oligopeptide		3.A.1		X
PN96_RS20345	vn10844		vn10844	ABC	binding	865	lipoprotein		3.A.1		X
PN96_RS20775	vn10844		vn10844	ABC	binding	867	mobybdenate		3.A.1		X
PN96_RS20780	vn10844		vn10844	ABC	membrane	868	molybdate		3.A.1		X
PN96_RS20785	vn10844		vn10844	ABC	binding	869	molybdate		3.A.1		X
PN96_RS20935	vn10844		vn10844	ABC	membrane	870	unknown substrate		3.A.1		X
PN96_RS20940	vn10844		vn10844	ABC	binding	871	lipoprotein		3.A.1		X
PN96_RS21160	vn10844		vn10844	ABC	binding	874	phosphate		3.A.1		X
PN96_RS21165	vn10844		vn10844	ABC	membrane	875	amino aicd (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS21170	vn10844		vn10844	ABC	binding protein	876	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS21175	vn10844		vn10844	ABC	membrane	877	amino aicd (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS21305	vn10844		vn10844	ABC	binding protein	881	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS21600	vn10844		vn10844	ABC	membrane	883	amino acid (lysine/arginine/ornithine/histidine/octopine)		3.A.1		X
PN96_RS21605	vn10844		vn10844	ABC	membrane	884	amino acid (lysine/arginine/ornithine/histidine/octopine)		3.A.1		X
PN96_RS21610	vn10844		vn10844	ABC	binding protein	885	amino acid (glutamine/glutamate/aspartate)		3.A.1		X
PN96_RS21615	vn10844		vn10844	ABC	binding	886	phosphonate		3.A.1		X
PN96_RS22250	vn10844		vn10844	ABC	binding protein	889	toluene tolerance		3.A.1		X
PN96_RS22255	vn10844		vn10844	ABC	binding	890	glycine betaine		3.A.1		X
PN96_RS22260	vn10844		vn10844	ABC	membrane	891	toluene tolerance		3.A.1		X
PN96_RS22720	vn10844		vn10844	ABC	binding	893	daunorubicin		3.A.1		X
PN96_RS22855	vn10844		vn10844	ABC	binding	894	lipoprotein		3.A.1		X
PN96_RS22860	vn10844		vn10844	ABC	membrane	895	lipoprotein releasing		3.A.1		X
PN96_RS22865	vn10844		vn10844	ABC	membrane	896	lipoprotein releasing		3.A.1		X
PN96_RS23095	vn10844		vn10844	ABC	binding	899	daunorubicin		3.A.1		X
PN96_RS23100	vn10844		vn10844	ABC	membrane	900	multidrug		3.A.1		X
PN96_RS23245	vn10844		vn10844	ABC	membrane	1460	multidrug		3.A.1		X
PN96_RS23430	vn10844		vn10844	ABC	membrane	903	multidrug	*	3.A.1		X
PN96_RS23635	vn10844		vn10844	ABC	membrane	904	sugar (maltose)		3.A.1		X
PN96_RS23640	vn10844		vn10844	ABC	membrane	905	sugar		3.A.1		X
PN96_RS23645	vn10844		vn10844	ABC	binding protein	906	sugar (maltose)		3.A.1		X
PN96_RS24210	vn10844		vn10844	ABC	membrane	907	CydC/CydD homolog	*	3.A.1		X
PN96_RS24340	vn10844		vn10844	ABC	binding	908	phosphonate		3.A.1		X
PN96_RS24345	vn10844		vn10844	ABC	binding	909	molybdate		3.A.1		X
PN96_RS02245	vn10844		vn10844	AbgT		471	aminobenzoyl-glutamate		2.A.68		X
PN96_RS10345	vn10844		vn10844	AbgT		472	aminobenzoyl-glutamate		2.A.68		X
PN96_RS23080	vn10844		vn10844	ACR3		387	arsenite		2.A.59		X
PN96_RS07230	vn10844		vn10844	AEC		474	unknown substrate		2.A.69		X
PN96_RS08075	vn10844		vn10844	AEC		475	unknown substrate		2.A.69		X
PN96_RS18755	vn10844		vn10844	AEC		476	unknown substrate		2.A.69		X
PN96_RS19705	vn10844		vn10844	AEC		477	unknown substrate		2.A.69		X
PN96_RS05210	vn10844		vn10844	AGCS		228	sodium ion:alanine symporter		2.A.25		X
PN96_RS10530	vn10844		vn10844	AGCS		229	sodium ion:alanine symporter		2.A.25		X
PN96_RS11165	vn10844		vn10844	AGCS		230	sodium ion:alanine symporter		2.A.25		X
PN96_RS21595	vn10844		vn10844	AGCS		231	sodium ion:alanine symporter		2.A.25		X
PN96_RS01575	vn10844		vn10844	AI-2E		545	Autoinducer-2 export		2.A.86		X
PN96_RS02510	vn10844		vn10844	AI-2E		546	Autoinducer-2 export		2.A.86		X
PN96_RS15710	vn10844		vn10844	AI-2E		547	Autoinducer-2 export		2.A.86		X
PN96_RS22205	vn10844		vn10844	AI-2E		548	Autoinducer-2 export		2.A.86		X
PN96_RS01490	vn10844		vn10844	Amt		24	ammonium		1.A.11		X
PN96_RS05910	vn10844		vn10844	Amt		25	ammonium		1.A.11		X
PN96_RS16060	vn10844		vn10844	APC		237	amino acid		2.A.3		X
PN96_RS17470	vn10844		vn10844	APC		238	ethanolamine		2.A.3		X
PN96_RS18150	vn10844		vn10844	APC		239	amino acid		2.A.3		X
PN96_RS21655	vn10844		vn10844	APC		240	arginine:ornithine antiporter		2.A.3		X
PN96_RS21990	vn10844		vn10844	APC		241	amino acid		2.A.3		X
PN96_RS22035	vn10844		vn10844	APC		242	amino acid		2.A.3		X
PN96_RS05175	vn10844		vn10844	ArAE		540	fusaric acid efflux		2.A.85		X
PN96_RS15685	vn10844		vn10844	ArAE		541	fusaric acid efflux		2.A.85		X
PN96_RS19275	vn10844		vn10844	ArAE		542	fusaric acid efflux		2.A.85		X
PN96_RS20000	vn10844		vn10844	ArAE		543	fusaric acid efflux		2.A.85		X
PN96_RS22275	vn10844		vn10844	ArAE		544	fusaric acid efflux		2.A.85		X
PN96_RS12335	vn10844		vn10844	ArsAB		1355	arsenite (ArsA)		3.A.4		X
PN96_RS00660	vn10844		vn10844	BASS		235	sodium ion/		2.A.28		X
PN96_RS04220	vn10844		vn10844	BCCT		147	glycine betaine/carnitine/choline		2.A.15		X
PN96_RS06115	vn10844		vn10844	BCCT		148	glycine betaine/carnitine/choline		2.A.15		X
PN96_RS15305	vn10844		vn10844	BCCT		149	glycine betaine/carnitine/choline		2.A.15		X
PN96_RS17645	vn10844		vn10844	BCCT		150	glycine betaine/carnitine/choline		2.A.15		X
PN96_RS21680	vn10844		vn10844	BCCT		151	glycine betaine/carnitine/choline		2.A.15		X
PN96_RS22655	vn10844		vn10844	BCCT		152	glycine betaine/carnitine/choline		2.A.15		X
PN96_RS23610	vn10844		vn10844	BCCT		153	glycine betaine/carnitine/choline		2.A.15		X
PN96_RS08095	vn10844		vn10844	BenE		307	benzoate		2.A.46		X
