Gene,COG,Description,Name,GOs,ECs,KEGG_ko,KEGG_Reaction,KEGG_TC,CAZy,PFAMs
PN96_RS00110,J,"Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors",rplJ,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0019843,GO:0022613,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0042254,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02864,,,,Ribosomal_L10
PN96_RS00115,J,Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation,rplL,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",,ko:K02935,,,,"Ribosomal_L12,Ribosomal_L12_N"
PN96_RS00120,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoB,"GO:0000428,GO:0001882,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003899,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030880,GO:0032549,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0036094,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0061695,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1990234",2.7.7.6,ko:K03043,"R00435,R00441,R00442,R00443",,,"RNA_pol_Rpb2_1,RNA_pol_Rpb2_2,RNA_pol_Rpb2_3,RNA_pol_Rpb2_45,RNA_pol_Rpb2_6,RNA_pol_Rpb2_7"
PN96_RS00125,K,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,rpoC,"GO:0000428,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003899,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030880,GO:0032774,GO:0032991,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0061695,GO:0071704,GO:0090304,GO:0097159,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1990234",2.7.7.6,ko:K03046,"R00435,R00441,R00442,R00443",,,"RNA_pol_Rpb1_1,RNA_pol_Rpb1_2,RNA_pol_Rpb1_3,RNA_pol_Rpb1_4,RNA_pol_Rpb1_5"
PN96_RS00130,K,Belongs to the Rsd AlgQ family,rsd,,,ko:K07740,,,,Rsd_AlgQ
PN96_RS00135,L,"COG2816 NTP pyrophosphohydrolases containing a Zn-finger, probably nucleic-acid-binding",nudC,"GO:0000210,GO:0003674,GO:0003824,GO:0004551,GO:0005488,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0033554,GO:0034641,GO:0043167,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0046872,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360",3.6.1.22,ko:K03426,"R00103,R03004,R11104",,,"NUDIX,zf-NADH-PPase"
PN96_RS00140,H,Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III,hemE,"GO:0003674,GO:0003824,GO:0004853,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006536,GO:0006725,GO:0006778,GO:0006779,GO:0006782,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009064,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019353,GO:0019438,GO:0019752,GO:0033013,GO:0033014,GO:0033526,GO:0034641,GO:0042168,GO:0042440,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046148,GO:0046483,GO:0046501,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605",4.1.1.37,ko:K01599,"R03197,R04972",,,URO-D
PN96_RS00145,L,COG1573 Uracil-DNA glycosylase,,,,,,,,UDG
PN96_RS00150,EH,COG0111 Phosphoglycerate dehydrogenase and related dehydrogenases,,,,,,,,2-Hacid_dh_C
PN96_RS00155,S,protein conserved in bacteria,,,,ko:K09891,,,,DUF416
PN96_RS00160,S,COG1253 Hemolysins and related proteins containing CBS domains,,,,,,,,"CBS,DUF21"
PN96_RS00165,L,"Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions",hupA,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0005829,GO:0006323,GO:0006996,GO:0008150,GO:0009889,GO:0009987,GO:0010556,GO:0016043,GO:0019219,GO:0019222,GO:0030261,GO:0031323,GO:0031326,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0051276,GO:0060255,GO:0065007,GO:0071103,GO:0071840,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2001141",,ko:K05787,,,,Bac_DNA_binding
PN96_RS00170,M,Protein of unknown function (DUF1481),atpB,,,,,,,DUF1481
PN96_RS00175,F,Belongs to the GARS family,purD,"GO:0000166,GO:0003674,GO:0003824,GO:0004637,GO:0005488,GO:0005524,GO:0006139,GO:0006144,GO:0006163,GO:0006164,GO:0006188,GO:0006189,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009113,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016874,GO:0016879,GO:0017076,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0042440,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046040,GO:0046112,GO:0046148,GO:0046390,GO:0046483,GO:0046872,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",6.3.4.13,ko:K01945,R04144,,,"GARS_A,GARS_C,GARS_N"
PN96_RS00180,F,bifunctional purine biosynthesis protein purh,purH,"GO:0003674,GO:0003824,GO:0003937,GO:0004643,GO:0006139,GO:0006163,GO:0006164,GO:0006188,GO:0006189,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016740,GO:0016741,GO:0016742,GO:0016787,GO:0016810,GO:0016814,GO:0018130,GO:0019238,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046040,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576","2.1.2.3,3.5.4.10",ko:K00602,"R01127,R04560",,,"AICARFT_IMPCHas,MGS"
PN96_RS00190,K,transcriptional regulators,zntR,,,ko:K13638,,,,"MerR,MerR-DNA-bind,MerR_1"
PN96_RS00195,K,Transcriptional activator CadC,cadC,,,ko:K03765,,,,Trans_reg_C
PN96_RS00260,P,COG0025 NhaP-type Na H and K H antiporters,,,,ko:K03316,,2.A.36,,Na_H_Exchanger
PN96_RS00265,E,"COG0646 Methionine synthase I (cobalamin-dependent), methyltransferase domain",metH,"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006725,GO:0006790,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0008270,GO:0008652,GO:0008705,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016053,GO:0016740,GO:0016741,GO:0019752,GO:0019842,GO:0031419,GO:0032259,GO:0036094,GO:0042084,GO:0042558,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0071704,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",2.1.1.13,ko:K00548,"R00946,R09365",,,"B12-binding,B12-binding_2,Met_synt_B12,Pterin_bind,S-methyl_trans"
PN96_RS00270,E,Belongs to the aspartokinase family,lysC,,2.7.2.4,ko:K00928,R00480,,,AA_kinase
PN96_RS00280,E,COG0075 Serine-pyruvate aminotransferase archaeal aspartate aminotransferase,,,"2.6.1.44,2.6.1.45,2.6.1.51",ko:K00830,"R00369,R00372,R00585,R00588",,,Aminotran_5
PN96_RS00285,M,COG3307 Lipid A core - O-antigen ligase and related enzymes,,,,ko:K13009,,,,"PglL_A,Wzy_C,Wzy_C_2"
PN96_RS00290,L,"The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate",uvrA,"GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006289,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0008144,GO:0008150,GO:0008152,GO:0009380,GO:0009381,GO:0009432,GO:0009605,GO:0009987,GO:0009991,GO:0016462,GO:0016787,GO:0016788,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0030554,GO:0031668,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033554,GO:0034641,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0046872,GO:0050896,GO:0051716,GO:0071496,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:0097367,GO:0140097,GO:1901265,GO:1901360,GO:1901363,GO:1902494,GO:1905347,GO:1905348,GO:1990391",,ko:K03701,,,,ABC_tran
PN96_RS00295,M,UTP--glucose-1-phosphate uridylyltransferase,galU,,2.7.7.9,ko:K00963,R00289,,,NTP_transferase
PN96_RS00300,K,COG2197 Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain,,,,ko:K04333,,,,GerE
PN96_RS00305,L,"Plays an important role in DNA replication, recombination and repair. Binds to ssDNA and to an array of partner proteins to recruit them to their sites of action during DNA metabolism",ssb,"GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0006139,GO:0006259,GO:0006260,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0033554,GO:0034641,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576",,ko:K03111,,,,SSB
PN96_RS00310,T,COG2199 FOG GGDEF domain,csrD,,,ko:K18765,,,,"EAL,GAPES4,GGDEF"
PN96_RS00315,NU,Pilus assembly protein,,,,ko:K12279,,,,
PN96_RS00320,NU,"Pilus assembly protein, PilO",mshJ,,,ko:K12280,,,,"PilO,T2SSM"
PN96_RS00325,S,MSHA biogenesis protein MshK,mshK,,,ko:K12281,,,,
PN96_RS00330,NU,Secretin N-terminal domain,mshL,,,ko:K12282,,,,"Secretin,Secretin_N_2"
PN96_RS00335,U,MSHA biogenesis protein MshM,mshM,,,ko:K12283,,,,AAA_22
PN96_RS00340,S,MSHA biogenesis protein MshN,mshN,,,ko:K12284,,,,"TPR_16,TPR_19"
PN96_RS00345,NU,"COG2804 Type II secretory pathway, ATPase PulE Tfp pilus assembly pathway, ATPase PilB",mshE,,,ko:K12276,,,,"T2SSE,T2SSE_N"
PN96_RS00350,NU,MSHA biogenesis protein MshG,mshG,,,ko:K12278,,,,T2SSF
PN96_RS00360,NU,Prokaryotic N-terminal methylation motif,,,,ko:K10924,,,,N_methyl
PN96_RS00365,,,,,,,,,,
PN96_RS00370,NU,Prokaryotic N-terminal methylation motif,mshC,,,ko:K10926,,,,N_methyl
PN96_RS00375,NU,"COG2165 Type II secretory pathway, pseudopilin PulG",mshD,,,ko:K10927,,,,N_methyl
PN96_RS00380,NU,Prokaryotic N-terminal methylation motif,,,,ko:K12285,,,,N_methyl
PN96_RS00385,,,,,,ko:K12286,,,,
PN96_RS00395,D,Rod shape-determining protein MreB,mreB,,,ko:K03569,,"1.A.33.1,9.B.157.1",,MreB_Mbl
PN96_RS00400,M,Involved in formation and maintenance of cell shape,mreC,,,ko:K03570,,9.B.157.1,,MreC
PN96_RS00405,M,Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins,mreD,,,ko:K03571,,9.B.157.1,,MreD
PN96_RS00410,D,COG0424 Nucleotide-binding protein implicated in inhibition of septum formation,maf,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0044424,GO:0044464,GO:0047429",,ko:K06287,,,,Maf
PN96_RS00415,J,COG1530 Ribonucleases G and E,rng,,,ko:K08301,,,,"RNase_E_G,S1"
PN96_RS00420,S,Protein of unknown function,VV2929,,,,,,,"AsmA_2,DUF3971"
PN96_RS00425,S,Carbon-nitrogen hydrolase,,,,ko:K11206,,,,CN_hydrolase
PN96_RS00430,S,Zn-dependent proteases and their inactivated homologs,tldD,,,ko:K03568,,,,PmbA_TldD
PN96_RS00435,T,ATPase related to phosphate starvation-inducible protein PhoH,,,,ko:K07175,,,,"PIN_4,PhoH"
PN96_RS00440,K,"Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair",rapA,"GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004386,GO:0005488,GO:0005524,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141",,ko:K03580,,,,"Helicase_C,RapA_C,SNF2_N"
PN96_RS00445,P,Mn2 and Fe2 transporters of the NRAMP family,,,,,,,,Nramp
PN96_RS00450,J,Responsible for synthesis of pseudouridine from uracil,rluA,"GO:0000154,GO:0000455,GO:0001522,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0005488,GO:0006139,GO:0006364,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016853,GO:0016866,GO:0022613,GO:0031118,GO:0031119,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363","5.4.99.28,5.4.99.29",ko:K06177,,,,PseudoU_synth_2
PN96_RS00455,C,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family,hprA,,1.1.1.29,ko:K00018,"R00717,R01388",,,"2-Hacid_dh,2-Hacid_dh_C"
PN96_RS00460,S,Belongs to the UPF0307 family,yjgA,,,ko:K09889,,,,DUF615
PN96_RS00465,S,Zn-dependent proteases and their inactivated homologs,pmbA,,,ko:K03592,,,,PmbA_TldD
PN96_RS00470,P,Acts as a magnesium transporter,mgtE,,,ko:K06213,,1.A.26.1,,"CBS,MgtE,MgtE_N"
