Protein,KO,Description
PN96_RS04775,K03675,grxB; glutaredoxin 2
PN96_RS01495,K02012,"afuA, fbpA; iron(III) transport system substrate-binding protein"
PN96_RS09740,K02399,flgN; flagellar biosynthesis protein FlgN
PN96_RS00555,K00790,murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
PN96_RS03755,K08359,ttrC; tetrathionate reductase subunit C
PN96_RS21165,K02029,ABC.PA.P; polar amino acid transport system permease protein
PN96_RS22015,K00121,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
PN96_RS04460,,
PN96_RS24335,,
PN96_RS20525,K26605,"azlC, brnF; branched chain amino acid efflux pump"
PN96_RS23850,,
PN96_RS04245,K00832,tyrB; aromatic-amino-acid transaminase [EC:2.6.1.57]
PN96_RS12855,K02456,gspG; general secretion pathway protein G
PN96_RS11045,K22042,"hlyU; ArsR family transcriptional regulator, virulence genes transcriptional regulator"
PN96_RS10240,K00794,"ribH, RIB4; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
PN96_RS21610,K09997,artI; arginine transport system substrate-binding protein
PN96_RS09730,K02386,flgA; flagellar basal body P-ring formation protein FlgA
PN96_RS20330,K02035,ABC.PE.S; peptide/nickel transport system substrate-binding protein
PN96_RS07235,K03484,"scrR; LacI family transcriptional regulator, sucrose operon repressor"
PN96_RS23300,K00148,fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
PN96_RS01055,K03595,"era, ERAL1; GTPase"
PN96_RS04695,,
PN96_RS12940,K07708,"glnL, ntrB; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]"
PN96_RS14095,K05812,"DTWD2, tapT; tRNA-uridine aminocarboxypropyltransferase [EC:2.5.1.25]"
PN96_RS10780,K01524,"ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"
PN96_RS11060,,
PN96_RS19890,K13639,"soxR; MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR"
PN96_RS21115,,
PN96_RS01075,K07678,"barA, gacS, varS; two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]"
PN96_RS21540,,
PN96_RS01655,K03075,secG; preprotein translocase subunit SecG
PN96_RS04020,K02336,polB; DNA polymerase II [EC:2.7.7.7]
PN96_RS08135,K13928,"mdcR; LysR family transcriptional regulator, malonate utilization transcriptional regulator"
PN96_RS21865,K05567,"mnhC, mrpC; multicomponent Na+:H+ antiporter subunit C"
PN96_RS20940,K02003,ABC.CD.A; putative ABC transport system ATP-binding protein
PN96_RS00380,K12285,mshO; MSHA biogenesis protein MshO
PN96_RS19050,K08319,ltnD; L-threonate 2-dehydrogenase [EC:1.1.1.411]
PN96_RS10095,,
PN96_RS20150,K07690,"evgA, bvgA; two-component system, NarL family, response regulator EvgA"
PN96_RS13095,,
PN96_RS13560,K03497,"parB, spo0J; ParB family transcriptional regulator, chromosome partitioning protein"
PN96_RS16540,,
PN96_RS06715,K19577,"ydhP; MFS transporter, DHA1 family, inner membrane transport protein"
PN96_RS17420,,
PN96_RS07950,K01756,"purB, ADSL; adenylosuccinate lyase [EC:4.3.2.2]"
PN96_RS06130,K03578,hrpA; ATP-dependent RNA helicase HrpA [EC:5.6.2.6]
PN96_RS01155,K03743,pncC; nicotinamide-nucleotide amidase [EC:3.5.1.42]
PN96_RS21295,,
PN96_RS18015,K24138,prx3; glutaredoxin/glutathione-dependent peroxiredoxin [EC:1.11.1.25 1.11.1.27]
PN96_RS08600,K00979,kdsB; 3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
PN96_RS02910,K15461,mnmC; tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]
PN96_RS03990,,
PN96_RS23515,,
PN96_RS19380,K07403,nfeD; membrane-bound serine protease (ClpP class)
PN96_RS19520,K02020,modA; molybdate transport system substrate-binding protein
PN96_RS21435,,
PN96_RS05205,,
PN96_RS22485,K00303,"soxB; sarcosine oxidase, subunit beta [EC:1.5.3.24 1.5.3.1]"
PN96_RS17985,K09794,K09794; uncharacterized protein
PN96_RS00495,K03092,rpoN; RNA polymerase sigma-54 factor
PN96_RS04635,,
PN96_RS14965,K03764,"metJ; MetJ family transcriptional regulator, methionine regulon repressor"
PN96_RS00330,K12282,mshL; MSHA biogenesis protein MshL
PN96_RS18800,K04101,"ligB; protocatechuate 4,5-dioxygenase, beta chain [EC:1.13.11.8]"
PN96_RS06780,K01258,pepT; tripeptide aminopeptidase [EC:3.4.11.4]
PN96_RS17770,K03704,cspA; cold shock protein
PN96_RS14190,K09812,ftsE; cell division transport system ATP-binding protein
PN96_RS14880,K07070,K07070; uncharacterized protein
PN96_RS01630,K07574,yhbY; RNA-binding protein
PN96_RS11130,K03981,dsbC; thiol:disulfide interchange protein DsbC [EC:5.3.4.1]
PN96_RS20590,K06140,rnk; regulator of nucleoside diphosphate kinase
PN96_RS20965,,
PN96_RS04445,,
PN96_RS08205,,
PN96_RS07155,,
PN96_RS08635,K09810,lolD; lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-]
PN96_RS18215,K10909,"luxQ; two-component system, autoinducer 2 sensor kinase/phosphatase LuxQ [EC:2.7.13.3 3.1.3.-]"
PN96_RS16635,K00567,"ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]"
PN96_RS04660,K19049,cslA; chondroitin AC lyase [EC:4.2.2.5]
PN96_RS06245,K03192,ureJ; urease accessory protein
PN96_RS14955,K03594,bfr; bacterioferritin [EC:1.16.3.1]
PN96_RS07790,,
PN96_RS19740,,
PN96_RS17815,K16840,hpxQ; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
PN96_RS16630,K13529,"ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"
PN96_RS06475,,
PN96_RS07365,,
PN96_RS01395,K03321,"TC.SULP; sulfate permease, SulP family"
PN96_RS08940,K09948,K09948; uncharacterized protein
PN96_RS20800,,
PN96_RS06685,,
PN96_RS09130,K10112,"msmX, msmK, malK, sugC, ggtA, msiK; multiple sugar transport system ATP-binding protein [EC:7.5.2.-]"
PN96_RS12930,K01915,"glnA, GLUL; glutamine synthetase [EC:6.3.1.2]"
PN96_RS19700,,
PN96_RS04335,,
PN96_RS18825,,
PN96_RS07450,,
PN96_RS11220,,
PN96_RS03300,K03612,rnfG; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit G
PN96_RS07700,K03308,"TC.NSS; neurotransmitter:Na+ symporter, NSS family"
PN96_RS13935,K05786,rarD; chloramphenicol-sensitive protein RarD
PN96_RS11810,K01525,apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]
PN96_RS19005,,
PN96_RS09485,K02565,nagC; N-acetylglucosamine repressor
PN96_RS21820,,
PN96_RS22390,,
PN96_RS02735,K03414,cheZ; chemotaxis protein CheZ
PN96_RS07910,K18219,"txr; sigma-54 dependent transcriptional regulator, tetracycline resistant transcriptional regulator"
PN96_RS16930,K03592,pmbA; PmbA protein
PN96_RS19765,,
PN96_RS00435,K07175,phoH2; PhoH-like ATPase
PN96_RS03000,,
PN96_RS03420,K09899,K09899; uncharacterized protein
PN96_RS05505,,
PN96_RS11560,K02451,gspB; general secretion pathway protein B
PN96_RS22900,,
PN96_RS04160,K09947,K09947; uncharacterized protein
PN96_RS01340,K02652,pilB; type IV pilus assembly protein PilB
PN96_RS14150,,
PN96_RS11825,,
PN96_RS04845,,
PN96_RS20250,,
PN96_RS21500,K27069,"lacI; LacI family transcriptional regulator, lactose operon repressor"
PN96_RS22525,,
PN96_RS21685,K01273,DPEP; membrane dipeptidase [EC:3.4.13.19]
PN96_RS15440,K19236,"ycfS; L,D-transpeptidase YcfS"
PN96_RS00345,K12276,mshE; MSHA biogenesis protein MshE
PN96_RS19070,K03299,"TC.GNTP; gluconate:H+ symporter, GntP family"
PN96_RS12050,K02948,"RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"
PN96_RS22200,,
PN96_RS23500,,
PN96_RS05545,,
PN96_RS17255,K08723,yjjG; pyrimidine 5'-nucleotidase [EC:3.1.3.-]
PN96_RS19840,K01714,dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
PN96_RS12750,K03655,recG; ATP-dependent DNA helicase RecG [EC:5.6.2.4]
PN96_RS21035,,
PN96_RS09480,K01443,"nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]"
PN96_RS00840,K00286,proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
PN96_RS15295,,
PN96_RS17285,K11018,tlh; thermolabile hemolysin
PN96_RS17065,,
PN96_RS08650,K03723,mfd; transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]
PN96_RS18850,,
PN96_RS12525,K02560,"lpxM, msbB; lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]"
PN96_RS04560,,
PN96_RS20070,K07114,yfbK; Ca-activated chloride channel homolog
PN96_RS12570,,
PN96_RS09080,K03544,"clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX"
PN96_RS10170,K06968,rlmM; 23S rRNA (cytidine2498-2'-O)-methyltransferase [EC:2.1.1.186]
PN96_RS08445,K02518,infA; translation initiation factor IF-1
PN96_RS17865,K01745,"hutH, HAL; histidine ammonia-lyase [EC:4.3.1.3]"
PN96_RS22155,K07665,"cusR, copR, silR; two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR"
PN96_RS08980,,
PN96_RS17510,,
PN96_RS15630,,
PN96_RS05555,K01512,acyP; acylphosphatase [EC:3.6.1.7]
PN96_RS02325,K00981,"E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]"
PN96_RS08720,,
PN96_RS04885,K12373,HEXA_B; hexosaminidase [EC:3.2.1.52]
PN96_RS04015,,
PN96_RS13855,K03154,thiS; sulfur carrier protein
PN96_RS02990,K00764,"purF, PPAT; amidophosphoribosyltransferase [EC:2.4.2.14]"
PN96_RS09005,K01911,menE; o-succinylbenzoate---CoA ligase [EC:6.2.1.26]
PN96_RS20905,K01784,"galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]"
PN96_RS11905,K03841,"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
PN96_RS02340,K07277,"SAM50, TOB55, bamA; outer membrane protein insertion porin family"
PN96_RS20900,,
PN96_RS05755,,
PN96_RS02465,K01933,purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
PN96_RS03610,,
PN96_RS08885,,
PN96_RS16885,K01096,pgpB; phosphatidylglycerophosphatase B [EC:3.1.3.27 3.6.1.75 3.1.3.4 3.6.1.27]
PN96_RS23290,K10680,nemA; N-ethylmaleimide reductase [EC:1.-.-.-]
PN96_RS14115,K01048,pldB; lysophospholipase [EC:3.1.1.5]
PN96_RS18600,K05549,"benA-xylX; benzoate/toluate 1,2-dioxygenase subunit alpha [EC:1.14.12.10 1.14.12.-]"
PN96_RS11790,K03771,surA; peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]
PN96_RS19015,,
PN96_RS05260,,
PN96_RS21275,,
PN96_RS23095,K01990,ABC-2.A; ABC-2 type transport system ATP-binding protein
PN96_RS12090,K02933,"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
PN96_RS13020,K24160,"NHA1, SOD2; sodium/hydrogen antiporter"
PN96_RS14380,K03557,"fis; Fis family transcriptional regulator, factor for inversion stimulation protein"
PN96_RS09645,K08483,ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]
PN96_RS12200,K03667,hslU; ATP-dependent HslUV protease ATP-binding subunit HslU
PN96_RS01705,K05803,nlpI; lipoprotein NlpI
PN96_RS00635,K11720,lptG; lipopolysaccharide export system permease protein
PN96_RS02585,K02406,"fliC, hag; flagellin"
PN96_RS22335,K07256,tauY; taurine dehydrogenase large subunit [EC:1.4.2.-]
PN96_RS04275,K01737,"queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"
PN96_RS01900,K20534,gtrB; polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]
PN96_RS21965,K00036,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
PN96_RS02030,K03583,recC; exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]
PN96_RS07355,,
PN96_RS03150,K26365,cangL; canavanine-gamma-lyase [EC:4.4.1.43]
PN96_RS09265,K03610,minC; septum site-determining protein MinC
PN96_RS03475,,
PN96_RS03280,,
PN96_RS07430,K16013,"cydD; ATP-binding cassette, subfamily C, bacterial CydD"
PN96_RS12795,K02170,bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
PN96_RS13950,K09125,yhhQ; queuosine precursor transporter
PN96_RS17875,K09912,K09912; uncharacterized protein
PN96_RS15100,K02963,"RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18"
PN96_RS15820,K00688,"PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]"
PN96_RS08835,,
PN96_RS06055,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS15015,K01940,"argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]"
PN96_RS01050,K03685,"rnc, DROSHA, RNT1; ribonuclease III [EC:3.1.26.3]"
PN96_RS01675,K02600,nusA; transcription termination/antitermination protein NusA
PN96_RS13840,K03147,thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]
PN96_RS10230,K00946,thiL; thiamine-monophosphate kinase [EC:2.7.4.16]
PN96_RS01795,K01079,"serB, PSPH; phosphoserine phosphatase [EC:3.1.3.3]"
PN96_RS10680,K15396,trmJ; tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200]
PN96_RS13400,K00230,hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
PN96_RS11665,,
PN96_RS15980,,
PN96_RS02175,K03734,apbE; FAD:protein FMN transferase [EC:2.7.1.180]
PN96_RS02100,K07157,K07157; uncharacterized protein
PN96_RS06565,,
PN96_RS04030,K03703,uvrC; excinuclease ABC subunit C
PN96_RS10080,K03801,lipB; lipoyl(octanoyl) transferase [EC:2.3.1.181]
PN96_RS15225,,
PN96_RS22250,K02067,"mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein"
PN96_RS11290,,
PN96_RS02795,K02198,ccmF; cytochrome c-type biogenesis protein CcmF
PN96_RS02875,K07320,prmB; ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]
PN96_RS00060,K00867,coaA; type I pantothenate kinase [EC:2.7.1.33]
PN96_RS17015,K00016,"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]"
PN96_RS11650,,
PN96_RS02860,,
PN96_RS09820,K03976,"ybaK, ebsC; Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase [EC:3.1.1.-]"
PN96_RS16795,,
PN96_RS08945,K03296,"TC.HAE1; hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family"
PN96_RS19350,K00130,"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
PN96_RS20625,K07792,dcuB; anaerobic C4-dicarboxylate transporter DcuB
PN96_RS06535,K05709,"hcaF, hcaA2; 3-phenylpropionate/trans-cinnamate dioxygenase subunit beta [EC:1.14.12.19]"
PN96_RS09260,K09902,K09902; uncharacterized protein
PN96_RS00865,K07735,algH; putative transcriptional regulator
PN96_RS16065,K25271,tynA; tyramine oxidase subunit A [EC:1.4.3.-]
PN96_RS18245,K03719,"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
PN96_RS12990,K03978,engB; GTP-binding protein
PN96_RS10620,K15539,rodZ; cytoskeleton protein RodZ
PN96_RS18950,K02614,paaI; acyl-CoA thioesterase [EC:3.1.2.-]
PN96_RS23155,K00657,"speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]"
PN96_RS11590,K08591,plsY; acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]
PN96_RS19080,,
PN96_RS08280,K03551,ruvB; holliday junction DNA helicase RuvB [EC:5.6.2.4]
PN96_RS10435,,
PN96_RS12935,,
PN96_RS12315,,
PN96_RS02160,K00349,nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]
PN96_RS12785,K06959,tex; protein Tex
PN96_RS17405,,
PN96_RS17725,,
PN96_RS09735,K02398,flgM; negative regulator of flagellin synthesis FlgM
PN96_RS17860,K21699,"bauR; LysR family transcriptional regulator, transcriptional activator for bauABCD operon"
PN96_RS06200,,
PN96_RS09195,K02362,"entD, pptT; enterobactin synthetase component D / holo-[acyl-carrier protein] synthase [EC:6.3.2.14 2.7.8.7]"
PN96_RS10475,K01813,rhaA; L-rhamnose isomerase [EC:5.3.1.14]
PN96_RS17685,,
PN96_RS12380,K01790,"rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"
PN96_RS23865,,
PN96_RS07640,K06938,K06938; uncharacterized protein
PN96_RS10955,,
PN96_RS05195,,
PN96_RS15235,,
PN96_RS06395,K00681,ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
PN96_RS15750,K07146,K07146; UPF0176 protein
PN96_RS10765,K02038,pstA; phosphate transport system permease protein
PN96_RS02760,K03408,cheW; purine-binding chemotaxis protein CheW
PN96_RS13470,K00835,avtA; valine--pyruvate aminotransferase [EC:2.6.1.66]
PN96_RS15135,K03409,cheX; chemotaxis protein CheX
PN96_RS06230,K03413,"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"
PN96_RS10220,K01662,dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
PN96_RS23110,K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
PN96_RS06125,,
PN96_RS22105,K06987,K06987; uncharacterized protein
PN96_RS22820,,
PN96_RS05640,K03808,pqiA; paraquat-inducible protein A
PN96_RS01645,K00796,folP; dihydropteroate synthase [EC:2.5.1.15]
PN96_RS19985,K19591,"cueR; MerR family transcriptional regulator, copper efflux regulator"
PN96_RS09660,K02406,"fliC, hag; flagellin"
PN96_RS02810,,
PN96_RS03625,,
PN96_RS10430,,
PN96_RS12185,K05499,"cytR; LacI family transcriptional regulator, repressor for deo operon, udp, cdd, tsx, nupC, and nupG"
PN96_RS14740,K03572,mutL; DNA mismatch repair protein MutL
PN96_RS05190,,
PN96_RS01365,K00163,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
PN96_RS03430,K05832,K05832; putative tryptophan/tyrosine transport system permease protein
PN96_RS07935,,
PN96_RS11145,K03311,"TC.LIVCS; branched-chain amino acid:cation transporter, LIVCS family"
PN96_RS16600,,
PN96_RS23305,,
PN96_RS06160,,
PN96_RS09835,,
PN96_RS06550,K00529,hcaD; 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]
PN96_RS03230,,
PN96_RS10160,K06966,ppnN; pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]
PN96_RS13485,K03629,recF; DNA replication and repair protein RecF
PN96_RS15560,,
PN96_RS07665,,
PN96_RS02355,K02372,fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
PN96_RS16680,K09913,ppnP; purine/pyrimidine-nucleoside phosphorylase [EC:2.4.2.1 2.4.2.2]
PN96_RS15370,,
PN96_RS16670,,
PN96_RS20435,,
PN96_RS09185,K03699,"tlyC; magnesium and cobalt exporter, CNNM family"
PN96_RS02080,K01766,csdA; cysteine sulfinate desulfinase [EC:4.4.1.-]
PN96_RS08455,K06891,clpS; ATP-dependent Clp protease adaptor protein ClpS
PN96_RS15010,K00930,argB; acetylglutamate kinase [EC:2.7.2.8]
PN96_RS16130,K07263,pqqL; zinc protease [EC:3.4.24.-]
PN96_RS10565,K01989,K01989; putative tryptophan/tyrosine transport system substrate-binding protein
PN96_RS07405,K14445,"SLC13A2_3_5; solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5"
PN96_RS19130,K15268,eamA; O-acetylserine/cysteine efflux transporter
PN96_RS21050,,
PN96_RS22070,K03671,"TXN, trxA; thioredoxin"
PN96_RS10715,,
PN96_RS11185,K01151,nfo; deoxyribonuclease IV [EC:3.1.21.2]
PN96_RS14055,K05851,"cyaA; adenylate cyclase, class 1 [EC:4.6.1.1]"
PN96_RS12100,K02954,"RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14"
PN96_RS18455,K01495,"GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]"
PN96_RS07400,K03748,sanA; SanA protein
PN96_RS08315,,
PN96_RS10815,,
PN96_RS11170,,
PN96_RS14160,,
PN96_RS11565,K02450,gspA; general secretion pathway protein A
PN96_RS10390,K03687,GRPE; molecular chaperone GrpE
PN96_RS04710,,
PN96_RS13090,K07226,"hutZ, hugZ; heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]"
PN96_RS08875,,
PN96_RS00465,K03592,pmbA; PmbA protein
PN96_RS22815,,
PN96_RS06610,,
PN96_RS02110,K03088,"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"
PN96_RS13350,K02521,"ilvY; LysR family transcriptional regulator, positive regulator for ilvC"
PN96_RS10100,K01226,treC; trehalose-6-phosphate hydrolase [EC:3.2.1.93]
PN96_RS03915,K06190,ispZ; intracellular septation protein
PN96_RS11615,K02316,dnaG; DNA primase [EC:2.7.7.101]
